identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
80:6F:B0:31:FB:AF,0,69,-76,1,5,13,49
80:6F:B0:31:FB:AF,0,70,-76,1,5,-30,-59
80:6F:B0:31:FB:AF,0,71,-76,1,5,-28,31
80:6F:B0:31:FB:AF,0,72,-76,1,5,-4,-71
80:6F:B0:31:FB:AF,0,73,-76,1,5,31,43
80:6F:B0:31:FB:AF,0,74,-76,1,5,36,-34
80:6F:B0:31:FB:AF,0,75,-76,1,5,-1,55
80:6F:B0:31:FB:AF,0,76,-76,1,5,-26,-60
80:6F:B0:31:FB:AF,0,77,-76,1,5,-39,33
80:6F:B0:31:FB:AF,0,78,-76,1,5,1,-74
80:6F:B0:31:FB:AF,0,79,-76,1,5,17,66
80:6F:B0:31:FB:AF,0,80,-76,1,5,37,-34
80:6F:B0:31:FB:AF,0,81,-76,1,5,-22,64
80:6F:B0:31:FB:AF,1,0,-77,1,23,-21,86
80:6F:B0:31:FB:AF,1,1,-77,1,23,90,24
80:6F:B0:31:FB:AF,1,2,-77,1,23,20,-89
80:6F:B0:31:FB:AF,1,3,-77,1,23,-85,-22
80:6F:B0:31:FB:AF,1,4,-77,1,23,-28,86
80:6F:B0:31:FB:AF,1,5,-77,1,23,83,22
80:6F:B0:31:FB:AF,1,6,-77,1,23,20,-86
80:6F:B0:31:FB:AF,1,7,-77,1,23,-89,-24
80:6F:B0:31:FB:AF,1,8,-77,1,23,88,26
80:6F:B0:31:FB:AF,1,9,-77,1,23,-111,41
80:6F:B0:31:FB:AF,1,10,-77,1,23,45,-60
80:6F:B0:31:FB:AF,1,11,-77,1,23,-80,-29
80:6F:B0:31:FB:AF,1,12,-77,1,23,110,-38
80:6F:B0:31:FB:AF,1,13,-77,1,23,-52,52
80:6F:B0:31:FB:AF,1,14,-77,1,23,78,46
80:6F:B0:31:FB:AF,1,15,-77,1,23,-110,26
80:6F:B0:31:FB:AF,1,16,-77,1,23,49,-55
80:6F:B0:31:FB:AF,1,17,-77,1,23,-80,-42
80:6F:B0:31:FB:AF,1,18,-77,1,23,113,-30
80:6F:B0:31:FB:AF,1,19,-77,1,23,-41,61
80:6F:B0:31:FB:AF,1,20,-77,1,23,80,38
80:6F:B0:31:FB:AF,1,21,-77,1,23,-118,25
80:6F:B0:31:FB:AF,1,22,-77,1,23,44,-55
80:6F:B0:31:FB:AF,1,23,-77,1,23,-70,-50
80:6F:B0:31:FB:AF,1,24,-77,1,23,116,-12
80:6F:B0:31:FB:AF,1,25,-77,1,23,-52,46
80:6F:B0:31:FB:AF,1,26,-77,1,23,70,50
80:6F:B0:31:FB:AF,1,27,-77,1,23,-113,3
80:6F:B0:31:FB:AF,1,28,-77,1,23,58,-42
80:6F:B0:31:FB:AF,1,29,-77,1,23,-69,-51
80:6F:B0:31:FB:AF,1,30,-77,1,23,119,-8
80:6F:B0:31:FB:AF,1,31,-77,1,23,-53,42
80:6F:B0:31:FB:AF,1,32,-77,1,23,64,50
80:6F:B0:31:FB:AF,1,33,-77,1,23,-120,2
80:6F:B0:31:FB:AF,1,34,-77,1,23,56,-40
80:6F:B0:31:FB:AF,1,35,-77,1,23,-66,-56
80:6F:B0:31:FB:AF,1,36,-77,1,23,118,5
80:6F:B0:31:FB:AF,1,37,-77,1,23,-60,38
80:6F:B0:31:FB:AF,1,38,-77,1,23,56,65
80:6F:B0:31:FB:AF,1,39,-77,1,23,-120,-17
